Nama outlet,Nama kategori,Nama menu,Deskripsi menu,Harga sebelum promo,Harga setelah promo,Nominal atau persentase promo,Ketersediaan menu
"Ayam Katsu Katsunami, Lokarasa - Citraland",Menu promo,Deluxe Katsu Rice Buldak,"Nasi Pulen, Chicken Katsu + Saus Buldak + Scramble Egg + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 54.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Menu promo,Deluxe Katsu Rice Blackpaper,"Nasi Pulen, Chicken Katsu + Saus Blackpepper + Scramble Egg + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 54.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Menu promo,Chicken Katsu Curry Rice,Chicken katsu dengan saus kari Jepang yang kaya rasa,Rp 54.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Menu promo,Paket Buldak Duo (2 Deluxe Katsu Rice Buldak),"Dua porsi Deluxe Katsu Buldak, pedas nikmat yang pas untuk pecinta sensasi panas maksimal.",Rp 108.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Menu promo,Paket Buldak Mix (Deluxe Katsu Rice Buldak + Deluxe Katsu Rice Blackpaper),"Kombinasi Buldak dan Blackpepper, perpaduan pedas dan lada yang gurih dan memuaskan.",Rp 108.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Menu promo,Paket Buldak Puas (2 Deluxe Katsu Rice Buldak + Deluxe Katsu Rice BBQ),"Dua Buldak plus BBQ, tiga rasa favorit dalam paket lengkap untuk makan puas.",Rp 162.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Menu promo,Golden Crispy Katsu,"Tanpa Nasi + Chicken Katsu Renyah + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 37.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Menu promo,Original Katsu Rice,"Nasi Pulen + Chicken Katsu Renyah + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 43.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Untukmu,Original Katsu Rice,"Nasi Pulen + Chicken Katsu Renyah + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 43.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Untukmu,Golden Crispy Katsu,"Tanpa Nasi + Chicken Katsu Renyah + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 37.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Untukmu,Deluxe Katsu Rice Buldak,"Nasi Pulen, Chicken Katsu + Saus Buldak + Scramble Egg + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 54.000,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Untukmu,"Original Katsu Rice Bumbu Tabur,","Nasi Pulen + Chicken Katsu Renyah + Sayur Segar (Lettuce, Wortel, Kubis) + Saus + Bumbu Tabur",Rp 28.900,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Untukmu,A'la Carte Katsu BBQ,"Tanpa Nasi, Chicken Katsu + Saus BBQ + Scramble Egg + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 27.200,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Untukmu,A'la Carte Katsu Blackpepper,"Tanpa Nasi, Chicken Katsu + Saus Blackpepper + Scramble Egg + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 27.200,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Untukmu,A'la Carte Katsu Teriyaki,"Tanpa Nasi, Chicken Katsu + Saus Teriyaki + Scramble Egg + Sayur Segar (Lettuce, Wortel, Kubis) + Saus (Sambal, Tomat, Mayo)",Rp 27.200,,,Tersedia
"Ayam Katsu Katsunami, Lokarasa - Citraland",Untukmu,Telur Dadar,Telur dadar lembut yang pas untuk melengkapi hidangan Anda.,Rp 8.000,,,Tersedia
